metric,large_company,small_company,difference
vader_compound,0.4266,0.1697,-0.2569
vader_positive,0.1011,0.0873,-0.0138
vader_negative,0.0189,0.0470,0.0281
polarity,0.0827,0.1124,0.0297
subjectivity,0.3465,0.4407,0.0942
